,Date (MM/DD/YYYY),Layer,Recipe,Wafer Type,Site,1,2,3,4,5,6,7,8,9,Max Etch Rate,Min Etch Rate,Etch Rate (A/Min),% Uni,STDEV,Result,Employee Code,Lot ID,M'MENT TOOL,Remarks,LSL,USL,LCL,UCL,% Uni USL,% Uni UCL
366,2018-07-02,TEOS,ME-ER,ATZP91,Pre,2863.94,2767.99,2810.16,2796.62,2998.8,3035.93,2805.55,2775.01,2886.07,3919.5600000000004,3589.5199999999995,3793.017777777778,4.395212196434195,116.60127033802472,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
367,,,,ATZP91,Post,1018.11,835.07,855.97,866.69,1164.02,1241.17,882.97,815.23,992.26,,,,,,,,,,,,,,,,
368,,,,ATZP91,"∆ /Time=ERÅ/Min
",3691.66,3865.8399999999992,3908.3799999999997,3859.8599999999997,3669.5600000000004,3589.5199999999995,3845.1600000000003,3919.5600000000004,3787.6200000000003,,,,,,,,,,,,,,,,
375,2018-07-05,TEOS,ME-ER,ATZP91,Pre,6887.3,6872.31,6895.59,6847.61,6927.79,6871.05,6850.64,6880.35,6971.68,3994.3199999999997,3654.92,3869.193333333334,4.4370421113731515,121.02489248085666,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
376,,,,ATZP91,Post,4997.7,4895.57,4898.43,4875.98,5055.34,5043.59,4882.33,4887.76,5056.25,,,,,,,,,,,,,,,,
377,,,,ATZP91,"∆ /Time=ERÅ/Min
",3779.2000000000007,3953.4800000000014,3994.3199999999997,3943.26,3744.8999999999996,3654.92,3936.620000000001,3985.1800000000003,3830.8600000000006,,,,,,,,,,,,,,,,
384,2018-07-08,TEOS,ME-ER,ATZP91,Pre,5003.19,4904.68,4907.48,4886.21,5060.29,5048.8,4892.59,4897.39,5060.32,4017.6800000000003,3656.9800000000005,3885.3533333333326,4.699882470363505,129.9492785667115,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
385,,,,ATZP91,Post,3106.16,2915.3,2900.99,2904.22,3188.47,3220.31,2916.62,2888.55,3136.24,,,,,,,,,,,,,,,,
386,,,,ATZP91,"∆ /Time=ERÅ/Min
",3794.0599999999995,3978.76,4012.9799999999996,3963.9800000000005,3743.6400000000003,3656.9800000000005,3951.9400000000005,4017.6800000000003,3848.16,,,,,,,,,,,,,,,,
393,2018-07-11,TEOS,ME-ER,ATZP91,Pre,3113.38,2919.79,2905.07,2908.07,3196.99,3229.59,2920.69,2892.4,3143.72,3997.78,3675.6600000000003,3880.74,4.197856502429157,113.51065544699105,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
394,,,,ATZP91,Post,1214.49,937.54,907.34,937.48,1314.81,1391.76,954.97,893.51,1214.47,,,,,,,,,,,,,,,,
395,,,,ATZP91,"∆ /Time=ERÅ/Min
",3797.78,3964.5,3995.46,3941.1800000000003,3764.3599999999997,3675.6600000000003,3931.44,3997.78,3858.4999999999995,,,,,,,,,,,,,,,,
402,2018-07-15,TEOS,ME-ER,ATZP91,Pre,7019.14,7007.01,7023.72,6972.38,7039.15,6989.79,6977.82,7007.78,7087.49,4040.7999999999993,3692.58,3913.4355555555553,4.502817655410692,122.37883222918592,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
403,,,,ATZP91,Post,5116.29,5012.55,5005.78,4978.35,5139.61,5143.5,4991.16,4987.38,5139.2,,,,,,,,,,,,,,,,
404,,,,ATZP91,"∆ /Time=ERÅ/Min
",3805.7000000000007,3988.92,4035.880000000001,3988.0599999999995,3799.08,3692.58,3973.3199999999997,4040.7999999999993,3896.58,,,,,,,,,,,,,,,,
411,2018-07-19,TEOS,ME-ER,ATZP91,Pre,5116.29,5012.55,5005.78,4978.35,5139.61,5143.5,4991.16,4987.38,5139.2,4029.9400000000005,3667.5600000000004,3893.6244444444446,4.707762260474181,124.95314272868741,Pass,1340,Q18290075.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
412,,,,ATZP91,Post,3225.39,3027.47,2997.41,2993.22,3248.75,3309.72,3016.98,2972.41,3201.16,,,,,,,,,,,,,,,,
413,,,,ATZP91,"∆ /Time=ERÅ/Min
",3781.8,3970.1600000000008,4016.74,3970.260000000001,3781.7199999999993,3667.5600000000004,3948.3599999999997,4029.9400000000005,3876.08,,,,,,,,,,,,,,,,
420,2018-07-22,TEOS,ME-ER,ATZP91,Pre,6881.74,6882.58,6908.7,6850.94,6901.1,6848.49,6855.21,6891.0,6955.99,4007.620000000001,3649.3199999999997,3880.3199999999997,4.679415014353006,123.55814946818255,PASS,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
421,,,,ATZP91,Post,4985.0,4899.94,4907.63,4879.01,5024.19,5023.83,4888.22,4887.19,5019.3,,,,,,,,,,,,,,,,
422,,,,ATZP91,"∆ /Time=ERÅ/Min
",3793.4799999999996,3965.2800000000007,4002.1399999999994,3943.8599999999988,3753.8200000000015,3649.3199999999997,3933.9799999999996,4007.620000000001,3873.379999999999,,,,,,,,,,,,,,,,
429,2018-07-26,TEOS,ME-ER,ATZP91,Pre,4985.0,4899.94,4907.63,4879.01,5024.19,5023.83,4888.22,4887.19,5019.3,4008.379999999999,3648.74,3875.3399999999997,4.696805065089739,123.32936308926334,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
430,,,,ATZP91,Post,3099.21,2923.12,2911.09,2904.72,3144.49,3199.46,2923.35,2883.0,3086.84,,,,,,,,,,,,,,,,
431,,,,ATZP91,"∆ /Time=ERÅ/Min
",3771.58,3953.6399999999994,3993.08,3948.580000000001,3759.3999999999996,3648.74,3929.7400000000007,4008.379999999999,3864.92,,,,,,,,,,,,,,,,
435,2018-07-30,TEOS,ME-ER,ATZP91,Pre,3099.21,2923.12,2911.09,2904.72,3144.49,3199.46,2923.35,2883.0,3086.84,4039.02,3696.2200000000003,3915.3200000000006,4.431665985800049,118.76184782998227,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
436,,,,ATZP91,Post,1194.25,927.99,894.3,911.5,1238.04,1351.35,938.24,863.49,1137.18,,,,,,,,,,,,,,,,
437,,,,ATZP91,"∆ /Time=ERÅ/Min
",3809.92,3990.2599999999998,4033.5800000000004,3986.4399999999996,3812.8999999999996,3696.2200000000003,3970.22,4039.02,3899.32,,,,,,,,,,,,,,,,
444,2018-08-02,TEOS,ME-ER,ATZP91,Pre,7021.92,7017.77,7041.54,6990.05,7049.58,6991.64,6994.74,7025.7,7102.58,4034.3999999999996,3662.4000000000015,3900.344444444445,4.833177424384135,128.32095494412877,Pass,1340,Q18310091.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
445,,,,ATZP91,Post,5124.12,5025.45,5029.44,5002.06,5158.85,5160.44,5014.55,5008.5,5160.56,,,,,,,,,,,,,,,,
446,,,,ATZP91,"∆ /Time=ERÅ/Min
",3795.6000000000004,3984.6400000000012,4024.2000000000007,3975.9799999999996,3781.459999999999,3662.4000000000015,3960.379999999999,4034.3999999999996,3884.039999999999,,,,,,,,,,,,,,,,
453,2018-08-05,TEOS,ME-ER,ATZP91,Pre,5124.12,5025.45,5029.44,5002.06,5158.85,5160.44,5014.55,5008.5,5160.56,4009.5200000000004,3664.0599999999995,3886.1088888888894,4.501940424156664,122.11183812844627,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
454,,,,ATZP91,Post,3235.35,3043.82,3025.94,3019.82,3268.77,3328.41,3038.97,3003.74,3231.66,,,,,,,,,,,,,,,,
455,,,,ATZP91,"∆ /Time=ERÅ/Min
",3777.54,3963.2599999999993,4006.999999999999,3964.4800000000005,3780.1600000000008,3664.0599999999995,3951.1600000000008,4009.5200000000004,3857.800000000001,,,,,,,,,,,,,,,,
462,2018-08-08,TEOS,ME-ER,ATZP91,Pre,6839.48,6826.21,6870.9,6834.68,6894.53,6858.91,6859.58,6862.33,6947.74,4023.8600000000006,3680.4400000000005,3900.0977777777775,4.457510740755163,119.54010140720968,Pass,1159/102,Q18320068.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
463,,,,ATZP91,Post,4945.67,4843.21,4860.76,4848.45,4994.22,5018.69,4877.94,4850.4,5004.58,,,,,,,,,,,,,,,,
464,,,,ATZP91,"∆ /Time=ERÅ/Min
",3787.619999999999,3966.0,4020.279999999999,3972.460000000001,3800.619999999999,3680.4400000000005,3963.2800000000007,4023.8600000000006,3886.3199999999997,,,,,,,,,,,,,,,,
471,2018-08-10,TEOS,ME-ER,ATZP91,Pre,4953.6,4853.66,4870.76,4858.71,5000.79,5025.0,4887.74,4860.87,5011.5,4035.6400000000003,3675.62,3908.1888888888884,4.66875711621707,127.82060362520575,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
472,,,,ATZP91,Post,3052.71,2859.34,2852.94,2863.09,3105.68,3187.19,2899.51,2843.09,3072.23,,,,,,,,,,,,,,,,
473,,,,ATZP91,"∆ /Time=ERÅ/Min
",3801.7800000000007,3988.6399999999994,4035.6400000000003,3991.24,3790.2200000000003,3675.62,3976.459999999999,4035.5599999999995,3878.54,,,,,,,,,,,,,,,,
480,2018-08-16,TEOS,ME-ER,ATZP91,Pre,6945.23,6937.17,6986.48,6948.31,6995.27,6958.84,6969.59,6978.8,7054.81,4069.9799999999996,3741.620000000001,3950.3333333333335,4.2034922423062975,116.86572123596893,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
481,,,,ATZP91,Post,5016.49,4920.8,4951.49,4938.37,5075.39,5088.03,4963.27,4945.4,5098.76,,,,,,,,,,,,,,,,
482,,,,ATZP91,"∆ /Time=ERÅ/Min
",3857.4799999999996,4032.74,4069.9799999999996,4019.880000000001,3839.76,3741.620000000001,4012.6399999999994,4066.800000000001,3912.1000000000004,,,,,,,,,,,,,,,,
489,2018-08-20,TEOS,ME-ER,ATZP91,Pre,5016.49,4920.8,4951.49,4938.37,5075.39,5088.03,4963.27,4945.4,5098.76,4071.3199999999997,3724.2999999999993,3946.335555555556,4.451474032854352,123.1114892192067,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
490,,,,ATZP91,Post,3094.94,2905.33,2915.83,2927.1,3158.53,3225.88,2957.69,2911.66,3142.53,,,,,,,,,,,,,,,,
491,,,,ATZP91,"∆ /Time=ERÅ/Min
",3843.0999999999995,4030.9400000000005,4071.3199999999997,4022.54,3833.7200000000003,3724.2999999999993,4011.1600000000008,4067.4799999999996,3912.46,,,,,,,,,,,,,,,,
498,2018-08-23,TEOS,ME-ER,ATZP91,Pre,6842.0,6855.0,6905.0,6852.0,6857.0,6860.0,6883.0,6885.0,6956.0,4008.0,3660.0,3881.777777777778,4.538341158059469,121.34844228272578,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
499,,,,ATZP91,Post,4960.0,4877.0,4901.0,4875.0,4969.0,5030.0,4913.0,4886.0,5016.0,,,,,,,,,,,,,,,,
500,,,,ATZP91,"∆ /Time=ERÅ/Min
",3764.0,3956.0,4008.0,3954.0,3776.0,3660.0,3940.0,3998.0,3880.0,,,,,,,,,,,,,,,,
507,2018-08-26,TEOS,ME-ER,ATZP91,Pre,4969.79,4888.77,4912.22,4886.23,4978.38,5038.82,4923.65,4897.26,5025.36,4047.1000000000004,3678.3999999999996,3916.704444444444,4.77250663387484,131.01059070845832,Pass,102,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
508,,,,ATZP91,Post,3060.29,2883.44,2889.94,2890.31,3086.86,3199.62,2931.29,2873.71,3079.85,,,,,,,,,,,,,,,,
509,,,,ATZP91,"∆ /Time=ERÅ/Min
",3819.0,4010.6600000000008,4044.5600000000004,3991.8399999999992,3783.04,3678.3999999999996,3984.7199999999993,4047.1000000000004,3891.0199999999995,,,,,,,,,,,,,,,,
516,2018-08-26,TEOS,ME-ER,ATZP91,Pre,3071.52,2893.21,2900.42,2900.61,3098.24,3211.2,2941.74,2883.91,3091.94,4048.9799999999996,3679.0199999999995,3913.0866666666666,4.787267080745343,127.15059063960558,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
517,,,,ATZP91,Post,1170.89,896.9,881.13,909.2,1199.07,1371.69,956.02,859.42,1139.58,,,,,,,,,,,,,,,,
518,,,,ATZP91,"∆ /Time=ERÅ/Min
",3801.2599999999998,3992.62,4038.58,3982.82,3798.3399999999997,3679.0199999999995,3971.4399999999996,4048.9799999999996,3904.7200000000003,,,,,,,,,,,,,,,,
525,2018-09-01,TEOS,ME-ER,ATZP91,Pre,6953.63,6941.14,6989.81,6952.52,7007.72,6971.64,6975.28,6980.98,7061.7,4051.779999999999,3695.1800000000003,3924.733333333333,4.6030959240785885,122.26539371384813,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
526,,,,ATZP91,Post,5037.71,4936.49,4969.26,4956.19,5103.18,5124.05,4984.5,4955.09,5106.65,,,,,,,,,,,,,,,,
527,,,,ATZP91,"∆ /Time=ERÅ/Min
",3831.84,4009.300000000001,4041.1000000000004,3992.6600000000017,3809.08,3695.1800000000003,3981.5599999999995,4051.779999999999,3910.1000000000004,,,,,,,,,,,,,,,,
534,2018-09-04,TEOS,ME-ER,ATZP91,Pre,5037.71,4936.49,4969.26,4956.19,5103.18,5124.05,4984.5,4955.09,5106.65,4051.540000000001,3704.1400000000003,3929.4066666666663,4.479297753388491,122.62903938302027,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
535,,,,ATZP91,Post,3125.43,2930.29,2943.49,2952.57,3191.08,3271.98,2985.34,2931.77,3158.84,,,,,,,,,,,,,,,,
536,,,,ATZP91,"∆ /Time=ERÅ/Min
",3824.5600000000004,4012.3999999999996,4051.540000000001,4007.239999999999,3824.2000000000007,3704.1400000000003,3998.3199999999997,4046.6400000000003,3895.619999999999,,,,,,,,,,,,,,,,
546,2018-09-07,TEOS,ME-ER,ATZP91,Pre,3135.67,2939.37,2953.21,2962.39,3202.45,3283.39,2995.09,2941.35,3170.06,4042.04,3696.8399999999997,3919.753333333333,4.460593781012244,119.20797750149836,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
547,,,,ATZP91,Post,1230.97,943.62,933.68,965.61,1288.1,1434.97,1006.39,920.33,1220.42,,,,,,,,,,,,,,,,
548,,,,ATZP91,"∆ /Time=ERÅ/Min
",3809.4,3991.5,4039.0600000000004,3993.5599999999995,3828.7,3696.8399999999997,3977.4000000000005,4042.04,3899.2799999999997,,,,,,,,,,,,,,,,
552,2018-09-10,TEOS,ME-ER,ATZP91,Pre,7035.0,7018.0,7039.0,6989.0,7065.0,7010.0,6993.0,7022.0,7111.0,4002.0,3622.0,3863.777777777778,4.984260230849948,130.170827931776,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
553,,,,ATZP91,Post,5159.0,5044.0,5044.0,5018.0,5190.0,5199.0,5033.0,5021.0,5187.0,,,,,,,,,,,,,,,,
554,,,,ATZP91,"∆ /Time=ERÅ/Min
",3752.0,3948.0,3990.0,3942.0,3750.0,3622.0,3920.0,4002.0,3848.0,,,,,,,,,,,,,,,,
561,2018-09-14,TEOS,ME-ER,ATZP91,Pre,5165.48,5051.29,5050.19,5025.01,5195.85,5204.78,5039.47,5027.83,5193.53,4054.3199999999997,3670.2,3917.4422222222224,4.972736170014446,131.9769470189427,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
562,,,,ATZP91,Post,3259.39,3048.83,3027.96,3027.16,3296.99,3369.68,3049.95,3000.67,3244.31,,,,,,,,,,,,,,,,
563,,,,ATZP91,"∆ /Time=ERÅ/Min
",3812.1799999999994,4004.92,4044.459999999999,3995.7000000000007,3797.720000000001,3670.2,3979.040000000001,4054.3199999999997,3898.4399999999996,,,,,,,,,,,,,,,,
570,2018-09-17,TEOS,ME-ER,ATZP91,Pre,3259.39,3048.83,3027.96,3027.16,3296.99,3369.68,3049.95,3000.67,3244.31,4042.12,3681.5399999999995,3918.6999999999994,4.668512078470575,121.31930225650447,Pass,1340,Q18380010.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
571,,,,ATZP91,Post,1339.51,1047.88,1010.71,1036.44,1395.37,1528.91,1065.95,979.61,1286.41,,,,,,,,,,,,,,,,
572,,,,ATZP91,"∆ /Time=ERÅ/Min
",3839.7599999999998,4001.8999999999996,4034.5,3981.4399999999996,3803.24,3681.5399999999995,3967.9999999999995,4042.12,3915.7999999999997,,,,,,,,,,,,,,,,
579,2018-09-20,TEOS,ME-ER,ATZP91,Pre,6877.78,6887.78,6914.55,6864.87,6901.15,6839.29,6866.3,6903.24,6978.28,4033.58,3644.6000000000004,3894.735555555557,5.066044296955783,131.26017552087512,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
580,,,,ATZP91,Post,4987.23,4899.32,4904.84,4880.62,5008.86,5016.99,4890.67,4886.45,5031.95,,,,,,,,,,,,,,,,
581,,,,ATZP91,"∆ /Time=ERÅ/Min
",3781.1000000000004,3976.92,4019.42,3968.5,3784.58,3644.6000000000004,3951.26,4033.58,3892.66,,,,,,,,,,,,,,,,
588,2018-09-24,TEOS,ME-ER,ATZP91,Pre,4987.23,4899.32,4904.84,4880.62,5008.86,5016.99,4890.67,4886.45,5031.95,4095.6800000000003,3703.9799999999996,3959.317777777778,5.0220137800878595,139.52159633706745,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
589,,,,ATZP91,Post,3070.0,2873.0,2857.0,2856.0,3088.0,3165.0,2872.0,2839.0,3070.0,,,,,,,,,,,,,,,,
590,,,,ATZP91,"∆ /Time=ERÅ/Min
",3834.459999999999,4052.6399999999994,4095.6800000000003,4049.24,3841.7199999999993,3703.9799999999996,4037.34,4094.8999999999996,3923.8999999999996,,,,,,,,,,,,,,,,
597,2018-09-27,TEOS,ME-ER,ATZP91,Pre,7038.77,7022.49,7039.84,6989.84,7064.59,7007.58,6994.27,7025.41,7112.41,4018.42,3646.039999999999,3884.204444444445,4.8585288461287695,133.01266660652539,Pass,1340,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
598,,,,ATZP91,Post,5153.48,5032.51,5030.63,5007.49,5182.5,5184.56,5017.37,5017.38,5190.36,,,,,,,,,,,,,,,,
599,,,,ATZP91,"∆ /Time=ERÅ/Min
",3770.5800000000017,3979.959999999999,4018.42,3964.7000000000007,3764.1800000000003,3646.039999999999,3953.800000000001,4016.0599999999995,3844.1000000000004,,,,,,,,,,,,,,,,
615,2018-09-30,TEOS,ME-ER,ATZP91,Pre,5158.79,5037.14,5035.55,5012.4,5188.4,5189.87,5021.98,5022.17,5195.31,4080.1400000000003,3706.26,3949.4666666666662,4.801705537860887,131.64858031897586,Pass,74,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
616,,,,ATZP91,Post,3237.5,3017.36,2995.48,2996.44,3271.47,3336.74,3012.48,2983.02,3238.52,,,,,,,,,,,,,,,,
617,,,,ATZP91,"∆ /Time=ERÅ/Min
",3842.58,4039.5600000000004,4080.1400000000003,4031.919999999999,3833.8599999999997,3706.26,4018.999999999999,4078.3,3913.580000000001,,,,,,,,,,,,,,,,
624,2018-10-04,TEOS,ME-ER,ATZP91,Pre,3237.5,3017.36,2995.48,2996.44,3271.47,3336.74,3012.48,2983.02,3238.52,4078.14,3706.5799999999995,3949.3888888888887,4.772939810295045,121.26813642136192,Pass,1340,Q18400068.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
625,,,,ATZP91,Post,1307.43,1007.95,963.5,988.6,1346.11,1483.45,1015.27,943.95,1260.5,,,,,,,,,,,,,,,,
626,,,,ATZP91,"∆ /Time=ERÅ/Min
",3860.14,4018.82,4063.96,4015.6800000000003,3850.72,3706.5799999999995,3994.42,4078.14,3956.04,,,,,,,,,,,,,,,,
633,2018-10-07,TEOS,ME-ER,ATZP91,Pre,6873.84,6889.92,6940.99,6887.25,6882.15,6889.51,6918.4,6931.13,6987.69,4053.4799999999996,3687.6400000000012,3926.1711111111113,4.725931131412487,127.51750394006014,Pass,1428, Q18410002.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
634,,,,ATZP91,Post,4962.64,4882.96,4915.56,4889.44,4977.67,5045.69,4922.93,4904.39,5031.83,,,,,,,,,,,,,,,,
635,,,,ATZP91,"∆ /Time=ERÅ/Min
",3822.3999999999996,4013.92,4050.8599999999988,3995.620000000001,3808.959999999999,3687.6400000000012,3990.9399999999987,4053.4799999999996,3911.7199999999993,,,,,,,,,,,,,,,,
642,2018-10-10,TEOS,ME-ER,ATZP91,Pre,4970.53,4892.05,4924.42,4898.46,4985.33,5052.33,4931.3,4912.9,5038.7,4125.36,3748.6399999999994,3995.797777777778,4.784353568707141,131.78010906220172,Pass,1340,Q18410089.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
643,,,,ATZP91,Post,3027.64,2849.55,2862.62,2860.51,3044.26,3178.01,2899.04,2850.22,3053.08,,,,,,,,,,,,,,,,
644,,,,ATZP91,"∆ /Time=ERÅ/Min
",3885.7799999999997,4085.0,4123.6,4075.8999999999996,3882.1399999999994,3748.6399999999994,4064.5200000000004,4125.36,3971.24,,,,,,,,,,,,,,,,
645,2018-10-14,TEOS,ME-ER,ATZP91,Pre,6913.76,6917.01,6938.55,6879.0,6924.66,6870.55,6884.15,6921.89,6986.62,4086.76,3720.7000000000007,3958.2999999999997,4.688592704925795,125.43281269271344,Pass,1340,Q18420001.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
646,,,,ATZP91,Post,4990.21,4899.29,4897.79,4862.8,4996.3,5010.2,4875.54,4878.51,5013.2,,,,,,,,,,,,,,,,
647,,,,ATZP91,"∆ /Time=ERÅ/Min
",3847.1000000000004,4035.4400000000005,4081.5200000000004,4032.3999999999996,3856.7199999999993,3720.7000000000007,4017.2199999999993,4086.76,3946.84,,,,,,,,,,,,,,,,
654,2018-10-17,TEOS,ME-ER,ATZP91,Pre,4996.04,4906.16,4904.93,4870.8,5001.92,5015.62,4883.22,4885.94,5019.01,4082.9799999999996,3654.96,3934.6377777777775,5.531446353939156,145.70417785517253,Pass,102,Q18420063.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
655,,,,ATZP91,Post,3077.78,2887.31,2871.47,2862.88,3106.23,3188.14,2881.95,2844.45,3057.56,,,,,,,,,,,,,,,,
656,,,,ATZP91,"∆ /Time=ERÅ/Min
",3836.5199999999995,4037.7,4066.920000000001,4015.84,3791.38,3654.96,4002.540000000001,4082.9799999999996,3922.9000000000005,,,,,,,,,,,,,,,,
663,2018-10-21,TEOS,ME-ER,ATZP91,Pre,3086.13,2894.35,2878.24,2869.15,3113.34,3195.98,2888.48,2851.33,3065.83,4100.98,3748.18,3974.437777777778,4.494748482640177,124.50174795738715,Pass,121,Q18430001.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
664,,,,ATZP91,Post,1145.84,859.5,830.66,848.67,1188.88,1321.89,871.22,800.84,1090.36,,,,,,,,,,,,,,,,
665,,,,ATZP91,"∆ /Time=ERÅ/Min
",3880.5800000000004,4069.7,4095.16,4040.96,3848.92,3748.18,4034.52,4100.98,3950.94,,,,,,,,,,,,,,,,
672,2018-10-24,TEOS,ME-ER,ATZP91,Pre,6848.32,6841.1,6888.48,6848.47,6893.98,6866.11,6873.7,6878.57,6952.19,4067.5999999999985,3694.7199999999993,3939.1555555555556,4.8037184759195615,130.28535749568397,Pass,1159,Q18430086.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
673,,,,ATZP91,Post,4934.91,4828.44,4855.5,4839.99,4979.49,5018.75,4869.57,4844.77,4993.3,,,,,,,,,,,,,,,,
674,,,,ATZP91,"∆ /Time=ERÅ/Min
",3826.8199999999997,4025.3200000000015,4065.959999999999,4016.960000000001,3828.9799999999996,3694.7199999999993,4008.26,4067.5999999999985,3917.779999999999,,,,,,,,,,,,,,,,
681,2018-10-28,TEOS,ME-ER,ATZP91,Pre,4940.85,4836.93,4863.98,4849.74,4985.08,5024.28,4878.17,4853.58,4999.28,4155.08,3758.4799999999996,4018.757777777778,5.01165088784315,134.07890566545362,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
682,,,,ATZP91,Post,2977.58,2780.34,2793.04,2803.52,3038.01,3145.04,2837.95,2776.04,2995.96,,,,,,,,,,,,,,,,
683,,,,ATZP91,"∆ /Time=ERÅ/Min
",3926.540000000001,4113.18,4141.879999999999,4092.4399999999996,3894.1399999999994,3758.4799999999996,4080.4400000000005,4155.08,4006.6399999999994,,,,,,,,,,,,,,,,
690,2018-10-31,TEOS,ME-ER,ATZP91,Pre,2984.52,2786.95,2799.84,2810.01,3044.96,3152.39,2844.83,2782.63,3003.37,4115.76,3779.18,3995.9355555555553,4.263236959368917,117.17436996962779,Pass,64,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
691,,,,ATZP91,Post,1030.94,750.57,741.96,778.4,1102.81,1262.8,814.01,728.18,1018.12,,,,,,,,,,,,,,,,
692,,,,ATZP91,"∆ /Time=ERÅ/Min
",3907.16,4072.7599999999993,4115.76,4063.2200000000003,3884.3,3779.18,4061.64,4108.900000000001,3970.5,,,,,,,,,,,,,,,,
699,2018-11-04,TEOS,ME-ER,ATZP91,Pre,7034.53,7021.95,7041.48,6989.85,7061.53,7004.32,6995.06,7026.66,7115.41,4062.2999999999993,3677.539999999999,3929.96,4.971162194567333,133.01954668393512,Pass,121,Q18450002.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
700,,,,ATZP91,Post,5110.74,5007.29,5012.68,4989.09,5162.12,5165.55,4997.76,4995.51,5165.23,,,,,,,,,,,,,,,,
701,,,,ATZP91,"∆ /Time=ERÅ/Min
",3847.58,4029.3199999999997,4057.5999999999985,4001.5200000000004,3798.8199999999997,3677.539999999999,3994.6000000000004,4062.2999999999993,3900.3600000000006,,,,,,,,,,,,,,,,
708,2018-11-08,TEOS,ME-ER,ATZP91,Pre,5116.88,5013.61,5018.61,4995.26,5168.14,5171.47,5004.13,5001.46,5171.24,4153.4400000000005,3756.1000000000004,4016.1088888888894,5.023553834989141,135.3446150059479,Pass,1335,Q18450064.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
709,,,,ATZP91,Post,3165.16,2963.34,2946.93,2943.94,3214.28,3293.42,2962.92,2924.74,3173.58,,,,,,,,,,,,,,,,
710,,,,ATZP91,"∆ /Time=ERÅ/Min
",3903.4400000000005,4100.539999999999,4143.36,4102.64,3907.7200000000003,3756.1000000000004,4082.42,4153.4400000000005,3995.3199999999997,,,,,,,,,,,,,,,,
717,2018-11-12,TEOS,ME-ER,ATZP91,Pre,3165.16,2963.34,2946.93,2943.94,3214.28,3293.42,2962.92,2924.74,3173.58,4085.6399999999994,3720.58,3958.8933333333334,4.676527179608049,123.45592533371212,Pass,121,Q18460033.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
718,,,,ATZP91,Post,1229.51,937.57,908.12,931.51,1285.58,1433.13,955.86,881.92,1210.09,,,,,,,,,,,,,,,,
719,,,,ATZP91,"∆ /Time=ERÅ/Min
",3871.2999999999997,4051.54,4077.62,4024.86,3857.4000000000005,3720.58,4014.12,4085.6399999999994,3926.98,,,,,,,,,,,,,,,,
726,2018-11-20,TEOS,ME-ER,ATZP91,Pre,6916.07,6921.4,6944.65,6884.1,6926.58,6873.06,6889.99,6926.8,6992.45,4132.42,3730.4000000000015,3990.92,5.112923861922295,133.5848037765011,Pass,121,Q18470039.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
